Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99969,99943,99922,99904,99889,99877,99865,99855,99846,99837,99827,99818,99808,99795,99778,99752,99703,99586,99204,99221,99239,99256,99272,99288,99304,99320,99335,99349
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99965,99934,99909,99889,99872,99858,99846,99835,99826,99817,99809,99800,99791,99781,99769,99753,99728,99679,99563,99181,99199,99217,99235,99252,99268,99284,99300,99316,99331
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99963,99928,99899,99875,99855,99839,99826,99814,99805,99796,99788,99780,99772,99764,99755,99743,99728,99703,99655,99539,99158,99177,99195,99213,99230,99247,99264,99281,99297,99312
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99963,99926,99893,99864,99841,99822,99806,99794,99783,99774,99766,99759,99752,99744,99737,99728,99718,99703,99678,99631,99516,99135,99154,99173,99192,99210,99227,99244,99261,99278,99294
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99963,99926,99891,99858,99830,99807,99789,99775,99763,99753,99745,99737,99731,99724,99717,99711,99703,99692,99678,99654,99607,99493,99113,99133,99152,99171,99189,99207,99225,99242,99259,99276
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99962,99926,99890,99856,99824,99797,99775,99757,99744,99732,99723,99716,99709,99703,99697,99691,99685,99677,99668,99654,99631,99584,99470,99091,99111,99131,99150,99169,99188,99206,99224,99241,99258
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99962,99925,99890,99855,99821,99790,99764,99742,99726,99713,99702,99694,99687,99681,99675,99670,99665,99659,99652,99643,99630,99607,99562,99448,99069,99090,99110,99130,99150,99169,99187,99205,99223,99240
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99962,99924,99889,99854,99820,99787,99757,99731,99711,99695,99682,99673,99665,99659,99653,99648,99644,99639,99634,99628,99619,99607,99584,99539,99426,99048,99069,99090,99110,99130,99150,99169,99187,99205,99223
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99961,99923,99887,99852,99818,99785,99753,99723,99699,99679,99664,99652,99643,99636,99631,99626,99621,99617,99613,99609,99603,99595,99583,99562,99517,99405,99027,99049,99070,99091,99111,99131,99150,99169,99188,99206
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99960,99922,99886,99850,99816,99783,99751,99719,99691,99667,99648,99633,99622,99614,99608,99603,99598,99595,99591,99588,99584,99579,99572,99560,99539,99495,99383,99006,99028,99050,99071,99092,99112,99132,99151,99170,99189
