Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99979,99961,99947,99934,99923,99913,99903,99895,99886,99878,99870,99861,99852,99841,99827,99806,99770,99688,99427,99428,99429,99430,99431,99431,99432,99433,99434,99435
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99976,99956,99938,99923,99910,99899,99889,99880,99872,99863,99855,99847,99838,99829,99818,99804,99784,99748,99665,99404,99405,99406,99407,99408,99409,99410,99411,99412,99413
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99975,99952,99931,99913,99899,99886,99875,99865,99856,99847,99839,99831,99823,99814,99805,99794,99780,99760,99724,99642,99381,99382,99383,99384,99385,99386,99387,99388,99389,99390
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99975,99950,99927,99906,99889,99874,99861,99850,99841,99832,99823,99815,99807,99799,99790,99781,99770,99756,99736,99700,99618,99357,99358,99359,99360,99361,99362,99363,99364,99365,99366
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99975,99950,99926,99902,99882,99864,99849,99837,99826,99816,99807,99799,99791,99783,99775,99766,99757,99746,99732,99712,99676,99594,99333,99335,99336,99337,99338,99339,99340,99341,99342,99343
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99975,99950,99925,99901,99877,99857,99839,99825,99812,99801,99792,99783,99774,99766,99758,99750,99742,99733,99722,99708,99688,99652,99570,99310,99311,99312,99313,99314,99315,99317,99318,99319,99320
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99975,99950,99925,99900,99875,99852,99832,99814,99800,99787,99777,99767,99758,99750,99742,99734,99726,99718,99709,99698,99684,99664,99628,99546,99286,99287,99288,99289,99291,99292,99293,99294,99295,99296
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99974,99949,99924,99899,99875,99850,99827,99807,99789,99775,99762,99752,99742,99733,99725,99717,99709,99701,99693,99684,99673,99660,99640,99604,99522,99262,99263,99264,99265,99267,99268,99269,99270,99271,99272
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99974,99948,99923,99898,99873,99849,99824,99801,99781,99764,99749,99737,99726,99717,99708,99700,99692,99684,99676,99668,99659,99649,99635,99615,99579,99498,99237,99238,99240,99241,99242,99244,99245,99246,99247,99248
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99973,99947,99922,99897,99872,99847,99823,99798,99775,99755,99738,99723,99711,99701,99691,99683,99674,99667,99659,99651,99643,99634,99623,99610,99590,99554,99473,99212,99214,99215,99216,99218,99219,99220,99222,99223,99224
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99973,99946,99920,99895,99870,99845,99820,99796,99772,99749,99729,99711,99697,99685,99674,99665,99656,99648,99641,99633,99625,99617,99608,99598,99584,99564,99529,99447,99187,99188,99190,99191,99193,99194,99195,99197,99198,99199
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99972,99945,99918,99892,99867,99842,99817,99793,99768,99744,99721,99701,99684,99670,99658,99648,99638,99630,99622,99614,99606,99599,99591,99582,99571,99558,99538,99503,99421,99161,99163,99164,99165,99167,99168,99170,99171,99172,99174
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99971,99943,99916,99890,99864,99839,99814,99789,99765,99740,99716,99693,99673,99657,99642,99630,99620,99611,99602,99594,99587,99579,99571,99563,99555,99544,99531,99511,99476,99394,99134,99136,99137,99139,99140,99142,99143,99145,99146,99148
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99970,99941,99913,99886,99860,99834,99809,99784,99760,99735,99711,99687,99664,99645,99628,99614,99602,99591,99582,99574,99566,99558,99551,99543,99535,99527,99516,99503,99483,99448,99367,99107,99109,99110,99112,99113,99115,99116,99118,99119,99121
