Age,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99596,99236,98892,98557,98235,97924,97637,97368,97128,96920,96723,96532,96359,96204,96061,95940,95845,95765,95696,95638,95592,95549,95520,95500,95488,95481,95479,95482,95488,95497,95509,95523,95539,95556,95575,95595,95615,95637,95659,95682,95704,95728,95751,95774,95797,95822,95849,95878,95910,95944,95979,96014,96051,96087,96124,96160,96195,96230,96264,96296,96325,96347,96353,96315,96102,96143,96184,96224,96263,96302,96341,96379,96417,96454
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99562,99163,98808,98469,98139,97821,97515,97233,96968,96732,96528,96335,96149,95981,95830,95691,95575,95485,95409,95345,95291,95250,95211,95188,95172,95164,95162,95165,95172,95183,95196,95213,95231,95252,95274,95297,95321,95346,95372,95399,95426,95453,95480,95508,95535,95563,95591,95622,95656,95692,95729,95768,95808,95848,95888,95928,95968,96007,96046,96083,96118,96150,96176,96185,96150,95942,95985,96029,96072,96114,96156,96198,96239,96279,96319
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99515,99083,98690,98340,98007,97682,97370,97068,96791,96531,96300,96101,95913,95732,95569,95424,95290,95179,95094,95023,94965,94916,94880,94847,94828,94818,94815,94819,94827,94839,94855,94874,94895,94919,94945,94972,95000,95029,95059,95090,95122,95154,95186,95218,95250,95282,95314,95347,95383,95421,95461,95503,95546,95590,95634,95678,95722,95766,95809,95852,95893,95932,95968,95997,96010,95978,95774,95821,95868,95914,95960,96005,96049,96093,96137,96180
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99467,98988,98563,98176,97833,97505,97187,96880,96584,96312,96057,95832,95639,95457,95282,95125,94985,94858,94753,94674,94609,94556,94514,94483,94456,94443,94439,94442,94451,94465,94483,94505,94530,94557,94587,94618,94651,94684,94719,94755,94791,94828,94865,94903,94940,94978,95015,95052,95090,95130,95173,95218,95265,95313,95361,95410,95459,95507,95555,95603,95649,95694,95737,95777,95810,95827,95800,95599,95650,95700,95750,95799,95847,95895,95942,95989,96035
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99408,98883,98413,97995,97615,97278,96957,96645,96344,96055,95789,95541,95322,95136,94961,94792,94642,94509,94389,94291,94218,94160,94114,94079,94055,94035,94029,94031,94041,94057,94077,94102,94130,94161,94195,94231,94269,94308,94348,94389,94431,94473,94516,94559,94602,94646,94689,94732,94774,94818,94864,94912,94962,95014,95067,95120,95174,95227,95281,95333,95385,95436,95486,95533,95577,95614,95636,95612,95416,95471,95525,95579,95631,95683,95735,95785,95835,95885
70,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99351,98769,98252,97790,97380,97008,96678,96365,96059,95766,95484,95225,94985,94773,94595,94427,94266,94123,93998,93885,93795,93730,93680,93641,93613,93597,93584,93586,93596,93613,93636,93664,93696,93731,93770,93811,93854,93898,93944,93991,94039,94087,94137,94186,94235,94285,94335,94384,94433,94482,94531,94583,94637,94693,94750,94808,94867,94926,94985,95043,95101,95158,95214,95268,95320,95369,95410,95436,95417,95226,95285,95343,95400,95457,95513,95568,95622,95676,95729
71,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99259,98621,98050,97543,97091,96690,96327,96005,95700,95403,95117,94844,94594,94363,94160,93991,93832,93680,93547,93431,93327,93246,93190,93148,93119,93100,93093,93089,93099,93118,93144,93175,93212,93252,93296,93343,93392,93443,93495,93549,93604,93660,93716,93772,93829,93886,93943,94000,94056,94112,94167,94224,94282,94342,94404,94468,94532,94597,94662,94726,94790,94854,94916,94977,95037,95094,95148,95194,95225,95211,95025,95088,95151,95213,95273,95333,95393,95451,95509,95565
72,,,,,,,,,,,,,,,,,,,,,,,,,100000,99172,98445,97819,97260,96764,96323,95932,95578,95266,94969,94682,94406,94143,93904,93682,93490,93331,93183,93041,92918,92813,92720,92649,92603,92572,92553,92544,92547,92553,92573,92602,92637,92679,92724,92774,92828,92884,92942,93002,93063,93126,93189,93254,93318,93383,93448,93513,93578,93643,93707,93770,93833,93897,93962,94029,94099,94169,94240,94311,94382,94453,94523,94593,94661,94728,94793,94856,94915,94967,95003,94994,94814,94882,94949,95016,95081,95145,95209,95272,95333,95394
73,,,,,,,,,,,,,,,,,,,,,,,,100000,99088,98276,97564,96952,96405,95922,95491,95111,94768,94466,94181,93904,93640,93388,93160,92950,92770,92622,92485,92355,92244,92150,92069,92010,91975,91955,91948,91950,91964,91981,92012,92051,92097,92149,92205,92265,92329,92395,92463,92532,92604,92676,92749,92822,92896,92970,93044,93118,93191,93264,93336,93408,93479,93550,93623,93698,93775,93853,93931,94009,94087,94165,94241,94317,94392,94465,94536,94605,94670,94728,94769,94766,94591,94665,94737,94809,94879,94948,95016,95084,95150,95215
74,,,,,,,,,,,,,,,,,,,,,,,100000,98946,98053,97259,96563,95967,95435,94965,94548,94181,93850,93561,93288,93025,92774,92536,92322,92126,91960,91826,91703,91587,91490,91410,91342,91297,91276,91270,91275,91290,91317,91347,91391,91443,91501,91565,91633,91706,91781,91858,91938,92019,92101,92184,92268,92352,92436,92521,92605,92688,92771,92854,92935,93016,93096,93176,93258,93342,93427,93512,93598,93685,93770,93855,93939,94022,94104,94184,94262,94337,94409,94472,94520,94523,94355,94434,94512,94589,94664,94739,94812,94884,94955,95025
75,,,,,,,,,,,,,,,,,,,,,,100000,98806,97776,96905,96131,95454,94874,94359,93905,93502,93149,92833,92558,92301,92053,91818,91596,91398,91219,91069,90951,90844,90744,90663,90599,90547,90517,90512,90520,90541,90571,90612,90657,90715,90781,90853,90931,91013,91098,91187,91277,91370,91463,91558,91653,91749,91845,91940,92036,92131,92225,92319,92412,92504,92595,92685,92775,92866,92959,93053,93147,93242,93337,93431,93524,93616,93707,93796,93883,93969,94051,94130,94200,94255,94265,94103,94189,94273,94355,94437,94517,94595,94673,94749,94824
76,,,,,,,,,,,,,,,,,,,,,100000,98628,97464,96460,95613,94861,94205,93645,93148,92711,92326,91990,91691,91435,91195,90966,90750,90547,90369,90208,90077,89978,89890,89809,89747,89701,89667,89655,89668,89694,89732,89779,89837,89898,89973,90055,90143,90236,90334,90434,90537,90643,90749,90857,90965,91074,91183,91292,91401,91509,91617,91723,91829,91934,92037,92139,92240,92341,92442,92545,92649,92754,92858,92962,93065,93167,93268,93367,93465,93560,93654,93744,93830,93908,93970,93987,93833,93925,94016,94105,94193,94279,94364,94447,94529,94609
77,,,,,,,,,,,,,,,,,,,,100000,98438,97102,95970,94996,94176,93449,92817,92278,91801,91385,91019,90704,90426,90190,89972,89764,89570,89389,89233,89094,88985,88907,88841,88781,88740,88715,88702,88711,88743,88789,88846,88912,88990,89069,89162,89262,89368,89478,89593,89710,89830,89951,90074,90197,90321,90445,90569,90692,90815,90937,91058,91178,91297,91415,91531,91645,91758,91870,91984,92098,92213,92328,92443,92557,92670,92782,92892,93001,93107,93212,93314,93413,93507,93594,93664,93688,93543,93642,93740,93836,93930,94023,94114,94204,94292,94378
78,,,,,,,,,,,,,,,,,,,100000,98179,96663,95368,94273,93332,92542,91844,91238,90724,90271,89878,89538,89247,88994,88783,88591,88409,88241,88087,87956,87844,87760,87708,87667,87632,87616,87616,87627,87659,87715,87784,87863,87952,88050,88151,88265,88386,88512,88642,88776,88912,89051,89190,89331,89472,89613,89754,89894,90034,90173,90311,90447,90582,90715,90847,90977,91105,91231,91357,91483,91609,91736,91864,91990,92115,92240,92362,92483,92602,92719,92833,92945,93053,93156,93251,93330,93364,93227,93335,93440,93544,93646,93746,93844,93940,94035,94128
79,,,,,,,,,,,,,,,,,,100000,97942,96178,94712,93462,92407,91503,90747,90079,89502,89015,88590,88226,87913,87651,87426,87244,87080,86927,86789,86663,86562,86478,86423,86399,86385,86378,86389,86416,86453,86511,86592,86686,86790,86903,87025,87149,87286,87429,87577,87729,87884,88041,88200,88359,88519,88680,88840,88999,89158,89315,89471,89626,89779,89930,90079,90227,90372,90515,90656,90795,90935,91076,91216,91356,91495,91633,91769,91903,92036,92166,92294,92419,92541,92659,92773,92878,92966,93009,92883,92999,93113,93225,93335,93443,93549,93653,93755,93855
80,,,,,,,,,,,,,,,,,100000,97629,95643,93942,92531,91331,90321,89457,88737,88104,87559,87106,86713,86382,86102,85873,85681,85532,85401,85281,85176,85084,85015,84964,84941,84949,84966,84991,85032,85088,85156,85243,85352,85473,85605,85744,85893,86043,86205,86373,86545,86721,86899,87079,87261,87443,87624,87806,87987,88166,88345,88522,88697,88870,89042,89211,89378,89542,89705,89864,90021,90176,90332,90487,90642,90796,90949,91101,91250,91398,91543,91685,91825,91962,92096,92225,92350,92466,92564,92618,92502,92628,92752,92873,92992,93109,93223,93336,93446,93554
81,,,,,,,,,,,,,,,,100000,97278,94998,93090,91459,90109,88963,88002,87183,86503,85908,85402,84987,84632,84338,84097,83905,83751,83638,83544,83462,83394,83339,83307,83293,83305,83347,83400,83458,83533,83623,83723,83842,83982,84134,84296,84464,84642,84821,85010,85205,85404,85607,85811,86016,86222,86428,86634,86839,87042,87244,87445,87643,87840,88034,88225,88414,88600,88784,88964,89142,89317,89489,89661,89833,90004,90174,90343,90509,90674,90835,90994,91151,91304,91454,91600,91742,91879,92007,92117,92183,92079,92216,92349,92481,92610,92736,92860,92982,93101,93218
82,,,,,,,,,,,,,,,100000,96846,94240,92058,90237,88683,87400,86315,85407,84636,84002,83454,82992,82621,82310,82060,81862,81713,81601,81531,81479,81439,81413,81399,81409,81435,81487,81569,81660,81756,81869,81995,82131,82285,82460,82646,82841,83042,83252,83462,83682,83907,84136,84367,84599,84832,85066,85298,85530,85761,85989,86216,86441,86663,86883,87099,87313,87524,87731,87936,88137,88334,88529,88720,88911,89101,89290,89478,89663,89846,90027,90204,90379,90550,90718,90883,91044,91200,91350,91491,91614,91693,91603,91751,91897,92039,92179,92317,92451,92583,92713,92839
83,,,,,,,,,,,,,,100000,96339,93334,90854,88782,87056,85586,84377,83357,82508,81793,81212,80716,80307,79986,79726,79526,79376,79275,79212,79189,79184,79191,79212,79244,79299,79371,79467,79592,79725,79864,80017,80184,80360,80553,80766,80988,81219,81456,81701,81945,82199,82457,82718,82981,83244,83508,83771,84033,84294,84552,84809,85063,85314,85562,85807,86049,86287,86522,86753,86981,87204,87424,87640,87853,88064,88274,88483,88690,88894,89096,89295,89490,89682,89870,90055,90235,90412,90583,90748,90904,91042,91135,91060,91222,91381,91536,91688,91838,91984,92128,92269,92407
84,,,,,,,,,,,,,100000,95764,92295,89452,87110,85158,83535,82156,81027,80078,79294,78642,78123,77687,77336,77072,76868,76723,76628,76581,76570,76599,76646,76704,76775,76858,76962,77082,77227,77398,77577,77761,77959,78169,78388,78623,78876,79139,79409,79685,79967,80249,80539,80833,81129,81426,81723,82020,82315,82609,82901,83191,83477,83761,84041,84318,84591,84860,85125,85387,85644,85896,86145,86389,86629,86865,87099,87332,87563,87791,88016,88239,88457,88672,88883,89090,89293,89492,89686,89875,90057,90230,90384,90493,90435,90612,90785,90955,91121,91285,91444,91601,91755,91905
85,,,,,,,,,,,,100000,95117,91130,87869,85201,83007,81183,79670,78389,77345,76474,75765,75184,74732,74362,74075,73874,73731,73645,73608,73618,73663,73747,73849,73961,74086,74222,74379,74551,74746,74966,75194,75426,75671,75927,76191,76471,76768,77073,77385,77702,78024,78345,78674,79006,79340,79674,80007,80340,80670,80999,81324,81647,81967,82282,82594,82902,83205,83505,83799,84089,84375,84655,84931,85202,85468,85730,85990,86247,86502,86754,87003,87248,87489,87726,87959,88187,88410,88629,88843,89051,89253,89444,89617,89744,89706,89899,90089,90275,90457,90636,90811,90983,91151,91315
86,,,,,,,,,,,100000,94429,89864,86140,83099,80616,78579,76889,75493,74315,73362,72577,71948,71443,71063,70762,70543,70406,70326,70301,70324,70392,70495,70634,70791,70959,71138,71329,71539,71763,72010,72280,72558,72839,73132,73436,73747,74072,74414,74763,75118,75478,75842,76205,76575,76947,77319,77692,78064,78434,78802,79167,79529,79887,80242,80592,80938,81279,81615,81947,82274,82595,82911,83222,83528,83828,84123,84414,84701,84986,85268,85546,85821,86091,86357,86619,86875,87127,87374,87615,87851,88081,88304,88516,88710,88858,88842,89055,89263,89468,89668,89865,90057,90246,90430,90611
87,,,,,,,,,,100000,93645,88478,84247,80800,77990,75700,73827,72278,71003,69934,69079,68386,67841,67416,67111,66882,66731,66659,66642,66679,66761,66887,67047,67242,67454,67676,67910,68154,68418,68694,68991,69312,69639,69970,70312,70664,71022,71393,71780,72174,72573,72976,73384,73789,74201,74614,75028,75441,75852,76262,76669,77072,77472,77868,78260,78646,79028,79405,79777,80144,80505,80860,81210,81554,81892,82224,82551,82872,83191,83505,83817,84124,84427,84726,85019,85308,85591,85869,86142,86409,86670,86925,87171,87408,87625,87797,87805,88040,88270,88496,88717,88933,89146,89354,89558,89757
88,,,,,,,,,100000,92784,86940,82192,78309,75149,72579,70489,68784,67379,66231,65277,64526,63927,63469,63125,62893,62736,62652,62644,62689,62784,62924,63105,63319,63567,63831,64106,64392,64688,65002,65329,65675,66044,66420,66798,67187,67585,67990,68406,68838,69276,69719,70165,70616,71064,71517,71972,72427,72881,73333,73783,74230,74673,75112,75547,75977,76402,76822,77237,77646,78049,78446,78838,79223,79602,79975,80342,80703,81058,81409,81757,82101,82440,82774,83104,83428,83746,84059,84366,84668,84963,85252,85534,85808,86071,86315,86514,86550,86810,87064,87314,87559,87798,88033,88264,88490,88711
89,,,,,,,,100000,91665,85107,79800,75492,71972,69113,66791,64909,63380,62127,61113,60281,59638,59137,58769,58507,58351,58265,58249,58305,58410,58564,58759,58995,59261,59560,59875,60200,60536,60882,61246,61621,62016,62432,62853,63278,63713,64157,64607,65068,65544,66025,66511,67000,67493,67983,68479,68975,69472,69967,70460,70951,71438,71922,72401,72876,73346,73810,74270,74723,75171,75613,76049,76478,76901,77318,77728,78132,78529,78920,79307,79690,80068,80442,80810,81173,81531,81882,82227,82567,82900,83226,83546,83859,84163,84456,84730,84958,85027,85315,85597,85873,86145,86411,86672,86928,87179,87425
90,,,,,,,100000,90621,83128,77235,72470,68605,65452,62895,60824,59150,57798,56699,55820,55109,54572,54167,53885,53701,53616,53596,53642,53754,53914,54119,54364,54647,54959,55302,55661,56030,56410,56800,57206,57625,58061,58518,58981,59447,59923,60408,60898,61399,61915,62436,62961,63489,64021,64551,65085,65621,66156,66691,67223,67753,68279,68802,69320,69834,70343,70847,71346,71838,72325,72806,73280,73748,74210,74665,75113,75555,75990,76419,76843,77263,77678,78088,78492,78891,79284,79670,80051,80424,80792,81152,81506,81852,82189,82514,82821,83082,83188,83506,83818,84125,84426,84722,85011,85296,85575,85849
91,,,,,,100000,89345,81028,74384,69164,64946,61528,58744,56491,54671,53208,52035,51092,50348,49757,49324,49011,48811,48701,48682,48724,48826,48990,49197,49448,49736,50059,50411,50792,51188,51595,52012,52440,52883,53338,53811,54303,54801,55302,55814,56334,56860,57396,57946,58502,59062,59625,60192,60757,61327,61898,62469,63040,63608,64174,64737,65297,65853,66404,66951,67492,68028,68559,69084,69603,70115,70622,71122,71615,72102,72582,73055,73522,73985,74442,74895,75343,75785,76221,76650,77074,77491,77901,78304,78701,79090,79471,79844,80205,80546,80844,80989,81341,81686,82026,82359,82687,83009,83325,83636,83940
92,,,,,100000,88116,78792,71515,65705,61143,57460,54479,52055,50098,48524,47267,46268,45475,44861,44382,44047,43819,43693,43649,43688,43781,43930,44136,44383,44670,44991,45346,45727,46136,46560,46995,47440,47896,48367,48849,49349,49867,50392,50921,51460,52007,52560,53124,53701,54284,54872,55463,56058,56652,57252,57852,58453,59054,59654,60251,60846,61438,62027,62611,63191,63767,64338,64903,65463,66018,66566,67109,67646,68176,68699,69216,69727,70231,70731,71226,71716,72201,72681,73154,73621,74082,74536,74983,75424,75857,76283,76702,77111,77508,77887,78223,78410,78797,79178,79552,79920,80283,80639,80989,81333,81671
93,,,,100000,86501,76290,68277,62027,57037,53123,49967,47416,45345,43679,42348,41294,40467,39819,39329,38959,38716,38568,38510,38526,38616,38755,38945,39186,39465,39781,40129,40507,40911,41341,41785,42240,42706,43182,43674,44176,44696,45233,45777,46326,46885,47452,48026,48611,49208,49812,50421,51034,51651,52268,52890,53515,54140,54766,55391,56015,56636,57256,57873,58486,59096,59702,60303,60900,61492,62079,62661,63237,63807,64371,64929,65482,66027,66568,67103,67634,68161,68682,69198,69708,70211,70709,71200,71684,72162,72632,73096,73551,73998,74433,74849,75225,75456,75880,76297,76707,77111,77509,77901,78287,78666,79040
94,,,100000,85087,73671,65036,58260,52976,48760,45456,42794,40646,38908,37518,36415,35550,34881,34368,33991,33719,33556,33478,33478,33544,33674,33850,34070,34337,34638,34973,35337,35730,36146,36586,37041,37507,37983,38470,38972,39485,40014,40561,41115,41674,42243,42822,43407,44003,44611,45227,45848,46474,47105,47736,48373,49013,49655,50298,50941,51583,52225,52865,53503,54138,54771,55400,56026,56649,57267,57880,58489,59093,59692,60286,60874,61457,62034,62606,63173,63736,64295,64849,65398,65941,66479,67010,67536,68055,68567,69073,69571,70062,70544,71015,71468,71881,72157,72616,73068,73514,73953,74386,74813,75234,75648,76056
95,,100000,83592,71197,61707,54528,48896,44505,41003,38262,36057,34282,32852,31716,30822,30130,29604,29211,28933,28745,28652,28631,28679,28783,28944,29145,29386,29669,29982,30325,30695,31092,31510,31952,32407,32873,33350,33838,34340,34853,35382,35928,36482,37041,37611,38191,38777,39375,39985,40603,41226,41856,42491,43127,43770,44416,45066,45717,46369,47022,47674,48327,48978,49628,50275,50921,51564,52204,52841,53475,54104,54730,55351,55968,56581,57188,57790,58388,58982,59572,60159,60741,61318,61891,62458,63019,63575,64124,64668,65205,65735,66258,66773,67277,67764,68213,68531,69022,69508,69987,70459,70926,71386,71840,72288,72730
96,100000,82015,68631,58517,50771,44912,40315,36733,33878,31646,29854,28418,27267,26359,25652,25113,24713,24423,24231,24114,24077,24102,24186,24318,24499,24715,24967,25254,25569,25912,26279,26670,27081,27513,27959,28415,28883,29361,29854,30358,30876,31411,31955,32505,33065,33636,34214,34803,35405,36015,36632,37254,37884,38516,39155,39798,40445,41095,41747,42401,43056,43711,44367,45022,45676,46330,46981,47631,48279,48925,49567,50207,50843,51476,52105,52730,53351,53968,54582,55193,55801,56405,57005,57601,58192,58778,59358,59934,60503,61067,61625,62175,62718,63251,63768,64249,64607,65128,65643,66152,66654,67151,67642,68127,68606,69078
97,80356,65979,55275,47183,40983,36294,32615,29750,27468,25688,24264,23128,22222,21515,20971,20564,20270,20067,19945,19886,19893,19951,20059,20209,20400,20622,20874,21157,21465,21798,22152,22529,22923,23338,23765,24203,24652,25112,25585,26070,26569,27084,27608,28139,28680,29232,29792,30364,30947,31539,32139,32746,33360,33978,34603,35234,35869,36508,37151,37796,38443,39093,39743,40394,41046,41698,42349,43000,43650,44298,44945,45590,46233,46873,47511,48146,48778,49406,50033,50657,51279,51899,52514,53127,53735,54339,54938,55533,56123,56707,57286,57859,58425,58982,59524,60032,60425,60971,61510,62045,62573,63096,63614,64125,64631,65131
98,63250,51996,43613,37272,32413,28739,25857,23613,21828,20441,19335,18458,17763,17226,16820,16524,16318,16186,16119,16103,16142,16223,16345,16502,16695,16913,17157,17428,17721,18036,18370,18724,19095,19483,19884,20296,20718,21151,21597,22055,22526,23012,23507,24010,24524,25049,25582,26126,26683,27248,27822,28403,28993,29587,30189,30798,31412,32031,32654,33281,33912,34545,35181,35819,36459,37099,37741,38384,39026,39669,40311,40952,41593,42232,42869,43505,44139,44771,45402,46032,46660,47286,47910,48530,49148,49763,50374,50981,51584,52182,52776,53365,53947,54521,55082,55611,56034,56598,57158,57712,58261,58805,59344,59877,60405,60928
99,48698,40085,33665,28807,25083,22268,20060,18343,16981,15926,15088,14428,13910,13515,13221,13014,12878,12801,12775,12791,12850,12944,13071,13227,13413,13620,13849,14102,14374,14664,14971,15296,15637,15993,16362,16740,17129,17529,17941,18364,18800,19250,19710,20178,20656,21145,21644,22153,22675,23205,23745,24293,24849,25411,25982,26559,27143,27733,28328,28929,29533,30142,30754,31369,31987,32608,33231,33855,34482,35109,35737,36366,36995,37623,38252,38880,39507,40134,40760,41386,42011,42636,43259,43880,44500,45117,45731,46342,46951,47556,48157,48753,49345,49929,50501,51045,51492,52068,52640,53208,53771,54330,54884,55433,55977,56517
100,36622,30185,25385,21751,18965,16859,15208,13928,12914,12132,11515,11032,10657,10376,10172,10035,9952,9915,9918,9954,10024,10122,10247,10396,10568,10759,10968,11197,11442,11703,11979,12271,12576,12896,13227,13568,13919,14280,14653,15036,15432,15840,16259,16686,17123,17571,18028,18496,18976,19465,19964,20471,20986,21509,22041,22580,23126,23679,24238,24803,25373,25948,26528,27113,27701,28293,28888,29486,30087,30690,31295,31902,32511,33120,33731,34342,34954,35566,36178,36792,37406,38020,38634,39247,39860,40471,41080,41687,42293,42895,43495,44092,44685,45271,45848,46399,46861,47442,48020,48594,49164,49731,50293,50852,51406,51956
101,26856,22168,18670,16020,13988,12453,11252,10322,9589,9026,8584,8241,7979,7785,7650,7565,7521,7512,7534,7580,7654,7749,7866,8002,8157,8326,8512,8714,8929,9158,9401,9656,9924,10205,10496,10796,11106,11425,11755,12095,12446,12810,13183,13565,13957,14359,14770,15192,15625,16068,16521,16982,17451,17929,18415,18910,19412,19921,20438,20960,21489,22024,22565,23111,23661,24217,24776,25340,25907,26478,27052,27629,28209,28791,29375,29961,30548,31137,31728,32320,32915,33510,34106,34702,35299,35895,36491,37086,37680,38272,38863,39451,40037,40618,41190,41740,42211,42789,43364,43937,44507,45073,45637,46197,46754,47307
102,19174,15851,13370,11490,10049,8961,8112,7456,6941,6547,6241,6006,5829,5702,5617,5569,5552,5560,5592,5642,5713,5801,5906,6025,6160,6307,6466,6639,6824,7020,7227,7446,7675,7916,8166,8424,8691,8967,9253,9549,9855,10172,10498,10832,11176,11530,11892,12266,12649,13043,13445,13856,14276,14704,15141,15587,16040,16501,16970,17445,17928,18417,18912,19413,19920,20432,20950,21472,21999,22531,23067,23607,24150,24697,25246,25799,26354,26912,27473,28037,28603,29171,29741,30313,30885,31459,32033,32607,33181,33755,34328,34901,35471,36038,36598,37139,37610,38177,38742,39305,39867,40426,40983,41537,42089,42638
103,13304,11016,9307,8012,7020,6272,5690,5241,4890,4624,4419,4264,4149,4070,4020,3998,3997,4015,4050,4099,4163,4240,4330,4432,4546,4669,4803,4947,5101,5264,5437,5620,5812,6013,6223,6440,6665,6898,7141,7391,7652,7922,8201,8488,8783,9088,9402,9725,10058,10400,10751,11111,11480,11856,12241,12635,13037,13447,13864,14289,14720,15159,15605,16057,16516,16980,17451,17927,18408,18895,19387,19883,20384,20889,21399,21912,22428,22949,23473,24000,24531,25065,25602,26141,26682,27225,27770,28316,28863,29410,29959,30507,31054,31599,32139,32663,33126,33674,34222,34768,35313,35857,36400,36941,37480,38017
104,8953,7427,6286,5422,4760,4263,3876,3580,3348,3175,3042,2944,2873,2827,2801,2794,2802,2824,2858,2902,2958,3023,3098,3181,3274,3374,3483,3600,3725,3858,3998,4147,4303,4468,4639,4817,5003,5195,5396,5604,5821,6046,6279,6520,6768,7026,7291,7565,7848,8140,8440,8748,9065,9390,9723,10064,10413,10770,11135,11507,11887,12273,12667,13068,13475,13889,14309,14735,15167,15605,16048,16497,16951,17410,17874,18342,18815,19292,19773,20259,20749,21243,21740,22241,22744,23250,23759,24270,24783,25297,25813,26330,26847,27364,27876,28376,28823,29346,29868,30390,30912,31434,31955,32475,32995,33513
105,5832,4847,4111,3554,3128,2808,2560,2371,2224,2115,2033,1973,1932,1907,1897,1898,1911,1932,1962,2000,2046,2098,2158,2225,2298,2377,2463,2555,2654,2759,2870,2988,3112,3243,3380,3522,3671,3826,3988,4157,4333,4517,4707,4904,5109,5321,5540,5767,6003,6246,6498,6757,7023,7297,7579,7869,8167,8472,8784,9104,9431,9765,10107,10455,10810,11171,11539,11914,12295,12681,13074,13473,13877,14287,14702,15122,15547,15976,16411,16851,17296,17745,18198,18655,19116,19580,20047,20518,20991,21467,21945,22424,22905,23387,23866,24335,24760,25249,25740,26232,26724,27217,27710,28203,28696,29188
106,3669,3056,2599,2252,1988,1790,1636,1520,1431,1365,1317,1282,1260,1248,1246,1252,1265,1284,1309,1339,1375,1416,1463,1514,1570,1631,1696,1767,1842,1923,2008,2099,2195,2297,2403,2514,2631,2753,2880,3013,3153,3299,3451,3609,3773,3944,4121,4305,4497,4696,4901,5114,5333,5560,5794,6035,6283,6538,6800,7070,7346,7629,7919,8216,8519,8829,9145,9468,9797,10133,10474,10822,11175,11534,11898,12268,12644,13024,13410,13801,14197,14599,15004,15415,15829,16248,16670,17096,17525,17958,18394,18832,19272,19713,20154,20587,20983,21435,21889,22345,22802,23260,23719,24179,24639,25100
107,2224,1858,1584,1377,1219,1101,1010,942,889,852,824,806,795,791,793,799,811,827,847,870,897,928,962,1000,1042,1087,1136,1188,1244,1304,1368,1436,1508,1585,1665,1750,1839,1932,2030,2132,2240,2353,2471,2594,2723,2857,2997,3143,3296,3454,3618,3789,3966,4149,4338,4534,4737,4946,5162,5383,5612,5847,6088,6336,6590,6850,7117,7389,7668,7953,8245,8542,8844,9153,9467,9787,10112,10443,10779,11121,11468,11820,12177,12538,12905,13275,13650,14030,14412,14799,15189,15583,15979,16377,16775,17168,17531,17942,18355,18770,19187,19607,20027,20450,20873,21298
108,1297,1086,929,810,720,652,601,562,533,512,498,489,485,484,487,494,503,515,530,547,567,589,614,641,671,703,738,776,817,860,906,956,1008,1064,1123,1186,1251,1321,1394,1471,1552,1637,1727,1820,1919,2022,2129,2242,2360,2483,2612,2745,2884,3029,3179,3335,3497,3664,3837,4016,4201,4391,4588,4790,4998,5213,5433,5658,5890,6127,6371,6619,6874,7134,7400,7671,7947,8229,8516,8809,9107,9410,9718,10032,10349,10672,10999,11330,11666,12005,12348,12695,13045,13398,13752,14102,14429,14796,15165,15538,15912,16290,16669,17050,17433,17818
109,724,609,523,458,408,371,343,323,307,297,290,286,285,286,289,294,301,310,321,333,347,362,379,398,419,441,465,491,520,550,583,617,655,694,737,781,829,879,931,987,1047,1109,1175,1245,1318,1395,1476,1560,1650,1743,1841,1943,2050,2161,2277,2398,2524,2655,2791,2932,3078,3229,3386,3547,3714,3887,4064,4247,4435,4629,4828,5032,5242,5456,5676,5901,6132,6367,6608,6854,7105,7361,7622,7888,8158,8434,8713,8998,9286,9579,9875,10176,10480,10786,11095,11402,11690,12012,12337,12665,12996,13329,13665,14004,14345,14688
110,387,327,281,247,222,203,188,178,170,165,162,161,161,162,165,169,174,180,187,195,204,215,226,239,252,267,284,301,320,341,363,387,412,439,469,500,533,568,605,645,687,731,779,829,882,937,996,1058,1124,1193,1265,1342,1421,1505,1593,1684,1780,1880,1984,2092,2205,2322,2444,2570,2701,2837,2977,3122,3271,3426,3585,3749,3918,4091,4270,4453,4641,4833,5031,5233,5440,5652,5869,6090,6316,6546,6781,7020,7263,7511,7762,8018,8276,8539,8803,9066,9316,9593,9874,10158,10444,10734,11026,11322,11619,11920
